Name,In-game Description,Parsed Description
"The Brutal Tyrant","^ff3600^[7x6 board]^p, 9x ATK & reduces damage with 8+ combos;
1.5x ATK & RCV and adds 2 combos when 5 Att. attack","Change the board to 7x6 size.
All Attribute cards ATK x9, 25% all damage reduction when reaching 8 combos.
+2 combo when attacking with 5 of Fire, Water, Wood, Light & Dark orbs at the same time.
All Attribute cards ATK x1.5, RCV x1.5 when attacking with 5 of following orb types: Fire, Water, Wood, Light & Dark."
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"None","",""
"Blue Steel Star of Aquarius","1.5x ATK & RCV for Machine Type;
2.5x ATK with 2 Water Att. combos, 3.5x ATK with 3+ combos","Machine Type cards ATK x1.5, RCV x1.5.
All Attribute cards ATK x2.5 when reaching 2 Water combos. Attack multiplier increases by 1 for each additional combo, up to ATK x3.5 when reaching 3 Water combos."
"Sparkling Steel Star of Aquarius","2.5x ATK & RCV for God & Machine Types;
2.5x ATK with 2 Water combos, 3.5x ATK with 3+ combos","God & Machine Type cards ATK x2.5, RCV x2.5.
All Attribute cards ATK x2.5 when reaching 2 Water combos. Attack multiplier increases by 1 for each additional combo, up to ATK x3.5 when reaching 3 Water combos."
"Fowlknot Protective Crest","4x ATK for Fire Att., but ^ff3600^unable to erase 3 Orbs
or less^p; 4x ATK & reduces dmg with 2+ Fire combos","Can no longer clear 4 or less connected orbs. Fire Attribute cards ATK x4
All Attribute cards ATK x4, 25% all damage reduction when attacking with 2 Fire & Fire combos at the same time."
"Fowlknot Protective Crest","4x ATK for Fire Att., but ^ff3600^unable to erase 3 Orbs
or less^p; 4x ATK & reduces dmg with 2+ Fire combos","Can no longer clear 4 or less connected orbs. Fire Attribute cards ATK x4
All Attribute cards ATK x4, 25% all damage reduction when attacking with 2 Fire & Fire combos at the same time."
"Paulownia Protective Crest","4x ATK for Water Att., but ^ff3600^unable to erase 3 Orbs
or less^p; 4x ATK & reduces dmg with 2+ Water combos","Can no longer clear 4 or less connected orbs. Water Attribute cards ATK x4
All Attribute cards ATK x4, 25% all damage reduction when attacking with 2 Water & Water combos at the same time."
"Paulownia Protective Crest","4x ATK for Water Att., but ^ff3600^unable to erase 3 Orbs
or less^p; 4x ATK & reduces dmg with 2+ Water combos","Can no longer clear 4 or less connected orbs. Water Attribute cards ATK x4
All Attribute cards ATK x4, 25% all damage reduction when attacking with 2 Water & Water combos at the same time."
"Quince Protective Crest","4x ATK for Wood Att., but ^ff3600^unable to erase 3 Orbs
or less^p; 4x ATK & reduces dmg with 2+ Wood combos","Can no longer clear 4 or less connected orbs. Wood Attribute cards ATK x4
All Attribute cards ATK x4, 25% all damage reduction when attacking with 2 Wood & Wood combos at the same time."
"Quince Protective Crest","4x ATK for Wood Att., but ^ff3600^unable to erase 3 Orbs
or less^p; 4x ATK & reduces dmg with 2+ Wood combos","Can no longer clear 4 or less connected orbs. Wood Attribute cards ATK x4
All Attribute cards ATK x4, 25% all damage reduction when attacking with 2 Wood & Wood combos at the same time."
"Tachibana Protective Crest","^ff3600^[7x6 board]^p; 5x ATK & reduces damage
when Fire, Water, Wood & Light attack at once","Change the board to 7x6 size.
All Attribute cards ATK x5, reduce damage taken by 25% when attacking with 4 of Fire, Water, Wood & Light orb types at the same time."
"Tachibana Protective Crest","^ff3600^[7x6 board]^p; 5x ATK & reduces damage
when Fire, Water, Wood & Light attack at once","Change the board to 7x6 size.
All Attribute cards ATK x5, reduce damage taken by 25% when attacking with 4 of Fire, Water, Wood & Light orb types at the same time."
"Swallowtail Protective Crest","^ff3600^[7x6 board]^p; 5x ATK & reduces damage
when Fire, Water, Wood & Dark attack at once","Change the board to 7x6 size.
All Attribute cards ATK x5, reduce damage taken by 25% when attacking with 4 of Fire, Water, Wood & Dark orb types at the same time."
"Swallowtail Protective Crest","^ff3600^[7x6 board]^p; 5x ATK & reduces damage
when Fire, Water, Wood & Dark attack at once","Change the board to 7x6 size.
All Attribute cards ATK x5, reduce damage taken by 25% when attacking with 4 of Fire, Water, Wood & Dark orb types at the same time."
"Latent Awakening! (Imp. HP+)","Causes an Improved HP+ Latent Awakening upon
fusion with an eligible base monster (uses 2 slots)","Causes an Improved HP+ Latent Awakening upon
fusion with an eligible base monster (uses 2 slots)"
"Latent Awakening! (Imp. ATK+)","Causes an Improved ATK+ Latent Awakening upon
fusion with an eligible base monster (uses 2 slots)","Causes an Improved ATK+ Latent Awakening upon
fusion with an eligible base monster (uses 2 slots)"
"Latent Awakening! (Imp. RCV+)","Causes an Improved RCV+ Latent Awakening upon
fusion with an eligible base monster (uses 2 slots)","Causes an Improved RCV+ Latent Awakening upon
fusion with an eligible base monster (uses 2 slots)"
"Latent Awakening! (Ext. Move Time+)","Causes an Extended Move Time+ Latent Awakening upon
fusion with an eligible base monster (uses 2 slots)","Causes an Extended Move Time+ Latent Awakening upon
fusion with an eligible base monster (uses 2 slots)"
"None","","No Leader Skill"
"Attack Up (L)","2x HP & 8x ATK when all monsters in team are from
Monster Hunter Collab","HP x2, ATK x8, RCV 1 when all subs are from [object Object] Collab."
"Bubbly Dance","ATK increases with 4+ combos, up to 9x;
1.5x to all stats in Multiplayer Mode","ATK x3 at 4 combos. ATK multiplier increases by 1 for each additional combo, up to ATK x9 at 10 combos.
HP x1.5, ATK x1.5, RCV x1.5 in cooperation mode."
"Massacre Spirit","4x ATK for each cross of 5 Wood or Dark Orbs","ATK x4 for clearing each Wood or Dark orbs in a cross formation."
"None","","No Leader Skill"
"Elemental Crit","1.5x to all stats when all monsters in team are from
Monster Hunter Collab; 7x ATK with 7+ combos","HP x1.5, ATK x1.5, RCV 1.5 when all subs are from [object Object] Collab.
All Attribute cards ATK x7 when reaching 7 combos or above."
"Critical Eye +1","6x ATK for Att. erasing 5 Orbs including enhanced;
1.5x to all stats in Multiplayer Mode","Matched attribute ATK x6 when matching exactly 5 connected orbs with at least 1 enhanced orb.
HP x1.5, ATK x1.5, RCV x1.5 in cooperation mode."
"Heavy Polish","1.5x HP & ATK for Attacker & Dragon Types;
8x ATK when erasing 8+ linked Fire Orbs","Dragon & Attacker Type cards HP x1.5, ATK x1.5.
All Attribute cards ATK x8 when simultaneously clearing 8 connected Fire orbs."
"Flame Angel's Divine Will","4x ATK for Fire Att. when HP is 80% or more;
3.5x ATK with 2+ Heal combos","Fire Attribute cards ATK x4 when HP is 80% or more.
All Attribute cards ATK x3.5 when reaching 2 Heart combos."
"Water Angel's Divine Will","4x ATK for Water Att. when HP is 80% or more;
3.5x ATK with 2+ Heal combos","Water Attribute cards ATK x4 when HP is 80% or more.
All Attribute cards ATK x3.5 when reaching 2 Heart combos."
"Wood Angel's Divine Will","4x ATK for Wood Att. when HP is 80% or more;
3.5x ATK with 2+ Heal combos","Wood Attribute cards ATK x4 when HP is 80% or more.
All Attribute cards ATK x3.5 when reaching 2 Heart combos."
"Radiant Angel's Divine Will","^ff3600^[No Skyfall Combos]^p, 4x ATK when attacking with 4+ Att.;
6x ATK when 5 Orbs or less remain on the board","No skyfall combos. ATK x6 when there are 5 or less orbs on the board after matching.
All Attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light & Dark."
"Reminiscences of the Morning Star","2.5x ATK for each cross of 5 Dark or Wood Orbs;
4x ATK & reduces damage with a cross of 5 Heal Orbs","ATK x2.5 for clearing each Wood or Dark orbs in a cross formation.
ATK x4, reduce damage taken by 35% after matching Heal orbs in a cross formation."
"Latent Awakening! (Evo Material Killer)","Causes an Evo Material Killer Latent Awakening upon
fusion with an eligible base monster (uses 2 slots)","Causes an Evo Material Killer Latent Awakening upon
fusion with an eligible base monster (uses 2 slots)"
"Latent Awakening! (Awoken Material Killer)","Causes an Awoken Material Killer Latent Awakening upon
fusion with an eligible base monster (uses 2 slots)","Causes an Awoken Material Killer Latent Awakening upon
fusion with an eligible base monster (uses 2 slots)"
"Latent Awakening! (Enhanced Material Killer)","Causes an Enhanced Material Killer Latent Awakening upon
fusion with an eligible base monster (uses 2 slots)","Causes an Enhanced Material Killer Latent Awakening upon
fusion with an eligible base monster (uses 2 slots)"
"Latent Awakening! (Redeemable Material Killer)","Causes a Redeemable Material Killer Latent Awakening
upon fusion with an eligible base monster (uses 2 slots)","Causes a Redeemable Material Killer Latent Awakening
upon fusion with an eligible base monster (uses 2 slots)"
"Orb Safeguard - General","2x ATK for Fire Att.;
1.5x HP for Dark Att.","Fire Attribute cards ATK x2. Dark Attribute cards HP x1.5."
"Orb Safeguard - Sailor","2x ATK for Water Att.;
1.5x HP for Fire Att.","Water Attribute cards ATK x2. Fire Attribute cards HP x1.5."
"Orb Safeguard - Dragon","2x ATK for Wood Att.;
1.5x HP for Light Att.","Wood Attribute cards ATK x2. Light Attribute cards HP x1.5."
"Orb Safeguard - Diva","2x ATK for Light Att.;
1.5x HP for Dark Att.","Light Attribute cards ATK x2. Dark Attribute cards HP x1.5."
"Orb Safeguard - King","2x ATK for Dark Att.;
1.5x HP for Water Att.","Dark Attribute cards ATK x2. Water Attribute cards HP x1.5."
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"Dragon Emperor Power: Seething Inferno","4x ATK with 2 Fire combos, 10x ATK with 3+ combos;
may survive when HP is reduced to 0","All Attribute cards ATK x4 when reaching 2 Fire combos. Attack multiplier increases by 6 for each additional combo, up to ATK x10 when reaching 3 Fire combos.
While your HP is 50% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"Dragon Emperor Power: Seething Inferno","4x ATK with 2 Fire combos, 10x ATK with 3+ combos;
may survive when HP is reduced to 0","All Attribute cards ATK x4 when reaching 2 Fire combos. Attack multiplier increases by 6 for each additional combo, up to ATK x10 when reaching 3 Fire combos.
While your HP is 50% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit."
"Showdown 565 - Multi Turbo","3x ATK when HP is 80% or less, 6x ATK when HP is
20% or less; 1.5x ATK in Multiplayer Mode","Fire, Water, Wood, Light & Dark cards ATK x6 when HP is 20% or less. ATK x3 when HP is 80% or less.
ATK x1.5 in cooperation mode."
"Showdown 565 - Super Multi Turbo","4x ATK when HP is 80% or less, 7x ATK when HP is
20% or less; 1.5x ATK in Multiplayer Mode","Fire, Water, Wood, Light & Dark cards ATK x7 when HP is 20% or less. ATK x4 when HP is 80% or less.
ATK x1.5 in cooperation mode."
"Eternal Dragon Revived - Doz","1.5x HP & ATK for Dragon Type;
4.5x ATK for Att. erasing 5 Orbs including enhanced","Dragon Type cards HP x1.5, ATK x1.5.
Matched attribute ATK x4.5 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"Eternal Dragon Revived - Doz","1.5x HP & ATK for Dragon Type;
4.5x ATK for Att. erasing 5 Orbs including enhanced","Dragon Type cards HP x1.5, ATK x1.5.
Matched attribute ATK x4.5 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"Eternal Dragon Revived - Ragiren","1.5x HP & ATK for Dragon Type;
3x ATK when erasing 6+ linked Water Orbs","Dragon Type cards HP x1.5, ATK x1.5.
All Attribute cards ATK x3 when simultaneously clearing 6 connected Water orbs."
"Eternal Dragon Revived - Ragiren","1.5x HP & ATK for Dragon Type;
3x ATK when erasing 6+ linked Water Orbs","Dragon Type cards HP x1.5, ATK x1.5.
All Attribute cards ATK x3 when simultaneously clearing 6 connected Water orbs."
"Eternal Dragon Revived - Goos","1.5x HP & ATK for Dragon Type;
3x ATK when attacking with 2+ Water combos","Dragon Type cards HP x1.5, ATK x1.5.
All Attribute cards ATK x3 when reaching 2 Water combos."
"Eternal Dragon Revived - Goos","1.5x HP & ATK for Dragon Type;
3x ATK when attacking with 2+ Water combos","Dragon Type cards HP x1.5, ATK x1.5.
All Attribute cards ATK x3 when reaching 2 Water combos."
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"None","","No Leader Skill"
"Holy Furnace's Bright Flames","2x ATK for Fr & Wd Att., 4x for allies with both Att.;
3x ATK & reduces dmg when Fr, Wd & Lt attack at once","Fire Attribute cards ATK x2. Wood Attribute cards ATK x2.
All Attribute cards ATK x3, reduce damage taken by 25% when attacking with 3 of Fire, Wood & Light orb types at the same time."
"Holy Furnace's Bright Flames","2x ATK for Fr & Wd Att., 4x for allies with both Att.;
3x ATK & reduces dmg when Fr, Wd & Lt attack at once","Fire Attribute cards ATK x2. Wood Attribute cards ATK x2.
All Attribute cards ATK x3, reduce damage taken by 25% when attacking with 3 of Fire, Wood & Light orb types at the same time."
"Sound of the Ocean Waves","2x ATK for Wt & Dk Att., 4x for allies with both Att.;
3x ATK & reduces dmg when Wt, Wd & Dk attack at once","Water Attribute cards ATK x2. Dark Attribute cards ATK x2.
All Attribute cards ATK x3, reduce damage taken by 25% when attacking with 3 of Water, Wood & Dark orb types at the same time."
"Sound of the Ocean Waves","2x ATK for Wt & Dk Att., 4x for allies with both Att.;
3x ATK & reduces dmg when Wt, Wd & Dk attack at once","Water Attribute cards ATK x2. Dark Attribute cards ATK x2.
All Attribute cards ATK x3, reduce damage taken by 25% when attacking with 3 of Water, Wood & Dark orb types at the same time."
"Earth King's Sickle Attack","2x ATK for Wd & Lt Att., 4x for allies with both Att.;
3x ATK & reduces dmg when Wd, Lt & Dk attack at once","Wood Attribute cards ATK x2. Light Attribute cards ATK x2.
All Attribute cards ATK x3, reduce damage taken by 25% when attacking with 3 of Wood, Light & Dark orb types at the same time."
"Earth King's Sickle Attack","2x ATK for Wd & Lt Att., 4x for allies with both Att.;
3x ATK & reduces dmg when Wd, Lt & Dk attack at once","Wood Attribute cards ATK x2. Light Attribute cards ATK x2.
All Attribute cards ATK x3, reduce damage taken by 25% when attacking with 3 of Wood, Light & Dark orb types at the same time."
"Shining Star's Teachings","2x ATK for Lt & Wt Att., 4x for allies with both Att.;
3x ATK & reduces dmg when Fr, Wt & Lt attack at once","Light Attribute cards ATK x2. Water Attribute cards ATK x2.
All Attribute cards ATK x3, reduce damage taken by 25% when attacking with 3 of Fire, Water & Light orb types at the same time."
"Shining Star's Teachings","2x ATK for Lt & Wt Att., 4x for allies with both Att.;
3x ATK & reduces dmg when Fr, Wt & Lt attack at once","Light Attribute cards ATK x2. Water Attribute cards ATK x2.
All Attribute cards ATK x3, reduce damage taken by 25% when attacking with 3 of Fire, Water & Light orb types at the same time."
"Heavenly King's Cosmic Realm","2x ATK for Dk & Fr Att., 4x for allies with both Att.;
3x ATK & reduces dmg when Fr, Wt & Dk attack at once","Dark Attribute cards ATK x2. Fire Attribute cards ATK x2.
All Attribute cards ATK x3, reduce damage taken by 25% when attacking with 3 of Fire, Water & Dark orb types at the same time."
"Heavenly King's Cosmic Realm","2x ATK for Dk & Fr Att., 4x for allies with both Att.;
3x ATK & reduces dmg when Fr, Wt & Dk attack at once","Dark Attribute cards ATK x2. Fire Attribute cards ATK x2.
All Attribute cards ATK x3, reduce damage taken by 25% when attacking with 3 of Fire, Water & Dark orb types at the same time."
"Draco Summoning Law","16x ATK & 3x RCV when all monsters are non-collab Dragon
Callers or Dragonbounds; +2 combos when 3+ Att. attack","HP x1, ATK x16, RCV 3 when all subs are from undefined Collab.
+2 combo when attacking with 3 of Fire, Water, Wood, Light & Dark orbs at the same time."
"Eternal Dragon Armor - Gainaut","8x ATK & reduces dmg when Fire & Dark attack at once;
Orb move time +10 seconds, 2.5x ATK with 9+ combos","All Attribute cards ATK x8, 25% all damage reduction when attacking with 2 Fire & Dark combos at the same time.
Increases time limit of orb movement by 10 seconds.
All Attribute cards ATK x2.5 when reaching 9 combos or above."
"Eternal Dragon Armor - Volsung","8x ATK & reduces dmg when Water & Dark attack at once;
Orb move time +10 seconds, 2.5x ATK with 9+ combos","All Attribute cards ATK x8, 25% all damage reduction when attacking with 2 Water & Dark combos at the same time.
Increases time limit of orb movement by 10 seconds.
All Attribute cards ATK x2.5 when reaching 9 combos or above."
"Eternal Dragon Armor - Linthia","8x ATK & reduces dmg when Wood & Dark attack at once;
Orb move time +10 seconds, 2.5x ATK with 9+ combos","All Attribute cards ATK x8, 25% all damage reduction when attacking with 2 Wood & Dark combos at the same time.
Increases time limit of orb movement by 10 seconds.
All Attribute cards ATK x2.5 when reaching 9 combos or above."
"Eternal Dragon Armor - Nordis","8x ATK & reduces dmg when Light & Dark attack at once;
Orb move time +10 seconds, 2.5x ATK with 9+ combos","All Attribute cards ATK x8, 25% all damage reduction when attacking with 2 Light & Dark combos at the same time.
Increases time limit of orb movement by 10 seconds.
All Attribute cards ATK x2.5 when reaching 9 combos or above."
"Eternal Dragon Armor - Zaerog∞","7x ATK & reduces damage with 2+ Dark combos;
Orb move time +10 seconds, 2.5x ATK with 9+ combos","All Attribute cards ATK x7, 25% all damage reduction when attacking with 2 Dark & Dark combos at the same time.
Increases time limit of orb movement by 10 seconds.
All Attribute cards ATK x2.5 when reaching 9 combos or above."
"Crimson Divine Clock","1.5x HP & 3x ATK for Fire Att.;
2.5x ATK when Fire & Water attack at once","Fire Attribute cards HP x1.5, ATK x3.
All Attribute cards ATK x2.5 when reaching 2 Fire combos."
"Emerald Divine Clock","1.5x HP & 3x ATK for Wood Att.;
2.5x ATK when Wood & Fire attack at once","Wood Attribute cards HP x1.5, ATK x3.
All Attribute cards ATK x2.5 when reaching 2 Wood combos."
"Azure Divine Clock","2.5x ATK & RCV for Water Att.;
3x ATK when Water & Wood attack at once","Water Attribute cards ATK x2.5, RCV x2.5.
All Attribute cards ATK x3 when reaching 2 Water combos."
"Magic Dragon Tribe Mysteries","2x HP & ATK for Dragon & Physical Types;
ATK increases with 4+ linked Fire Orbs, up to 4x","Physical & Dragon Type cards HP x2, ATK x2.
All Attribute cards ATK x2 when simultaneously clearing 4 connected Fire orbs. ATK x1 for each additional connected orb, up to ATK x4 at 6 connected orbs."
"Ancient Dragon Tribe Mysteries","2x HP & ATK for Dragon & Attacker Types;
ATK increases with 5+ linked Wood Orbs, up to 4x","Dragon & Attacker Type cards HP x2, ATK x2.
All Attribute cards ATK x2.5 when simultaneously clearing 5 connected Wood orbs. ATK x0.5 for each additional connected orb, up to ATK x4 at 8 connected orbs."
"Crystal Dragon Tribe Mysteries","2x HP & ATK for Dragon & Healer Types;
ATK increases with 5+ linked Water Orbs, up to 4x","Healer & Dragon Type cards HP x2, ATK x2.
All Attribute cards ATK x2.5 when simultaneously clearing 5 connected Water orbs. ATK x0.5 for each additional connected orb, up to ATK x4 at 8 connected orbs."
"Eternal Dragon Pact - Toa","2x HP & 2.5x ATK for Water Att.;
2.5x ATK for Water Att. when skills used","Water Attribute cards HP x2, ATK x2.5.
Water Attribute cards ATK x2.5 on the turn a skill is used. (Multiple skills will not stack)."
"Eternal Dragon Descent - Toa","2x ATK & RCV for Water Att.; 4x ATK and reduces
damage when erasing 6+ linked Water Orbs","Water Attribute cards ATK x2, RCV x2.
ATK x4, reduce damage taken by 25% when matching 6+ Water orbs."
"Eternal Dragon Pact - Kuarje","2x HP & 2.5x ATK for Wood Att.;
1.5x ATK for Wood Att. when skills used","Wood Attribute cards HP x2, ATK x2.5.
Wood Attribute cards ATK x1.5 on the turn a skill is used. (Multiple skills will not stack)."
"Eternal Dragon Descent - Kuarje","2x ATK & RCV for Wood Att.; 4x ATK and reduces
damage when erasing 6+ linked Wood Orbs","Wood Attribute cards ATK x2, RCV x2.
ATK x4, reduce damage taken by 25% when matching 6+ Wood orbs."
"Eternal Dragon Pact - Fragrem","2x HP & 2.5x ATK for Light Att.;
1.5x ATK for Light Att. when skills used","Light Attribute cards HP x2, ATK x2.5.
Light Attribute cards ATK x1.5 on the turn a skill is used. (Multiple skills will not stack)."
"Eternal Dragon Descent - Fragrem","2.5x ATK & RCV for Light Att.; 3x ATK and reduces
damage when erasing 6+ linked Light Orbs","Light Attribute cards ATK x2.5, RCV x2.5.
ATK x3, reduce damage taken by 25% when matching 6+ Light orbs."
"このッ…裏切りもんがあぁああ","体力とマシンタイプの攻撃力が6倍。ドロップ操作を3秒延長。
火を5個以上つなげて消すとダメージを軽減、攻撃力が3倍。","Physical & Machine Type cards ATK x6. Increases time limit of orb movement by 3 seconds.
ATK x3, reduce damage taken by 25% when matching 5+ Fire orbs."
"全然なってないすべてやり直せ","ダンジョン潜入時にリーダーの時、タマゴドロップ率が少し上昇
（マルチプレイ時は無効）。闇属性の攻撃力が3倍。","Increase egg drop rate by 1.3x (excluding Multiplayer Mode).
Dark Attribute cards ATK x3."
"私がそんな良い人に見えるの？","^ff3600^【落ちコンなし】^p攻撃タイプのHPと攻撃力が2倍。
光を5個以上つなげて消すと攻撃力が上昇、最大5倍。","No skyfall matches. Attacker Type cards HP x2, ATK x2.
All Attribute cards ATK x2 when simultaneously clearing 5 connected Light orbs. ATK x1 for each additional connected orb, up to ATK x5 at 8 connected orbs."
"きぃやああああ","^ff3600^【落ちコンなし】^p攻撃タイプのHPと攻撃力が2倍。
光か回復を5個以上つなげて消すと攻撃力が上昇、最大7倍。","No skyfall matches. Attacker Type cards HP x2, ATK x2.
All Attribute cards ATK x4 when simultaneously clearing 5 connected Light or Heart orbs. ATK x1 for each additional connected orb, up to ATK x7 at 8 connected orbs."
"生き延びて帰るぞ…絶対に","体力タイプの攻撃力が6倍、マシンタイプのHPが2倍。","Physical Attribute cards ATK x6. Machine Attribute cards HP x2."
"オオオオオオ","体力タイプの攻撃力が4倍、攻撃タイプのHPが1.5倍。
HP50％以上で受けるダメージを半減、攻撃力が1.5倍。","Physical Attribute cards ATK x4. Attacker Attribute cards HP x1.5.
All Attribute cards ATK x1.5, reduce damage taken by 50% when HP 50% or more."
"無し","",""
"無し","",""
"いけーっ ドラグーン!!","ドラゴンタイプのHPが1.5倍、攻撃力は3倍。
水木の同時攻撃で攻撃力が2.5倍。","Dragon Type cards HP x1.5, ATK x3.
All Attribute cards ATK x2.5 when reaching 2 Water combos."
"Primordial Vitality","^ff3600^[No Skyfall Combos]^p, 4x ATK when attacking with 4+ Att.;
5x ATK when 6 Orbs or less remain on the board","No skyfall combos. ATK x5 when there are 6 or less orbs on the board after matching.
All Attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light & Dark."
"Primordial Vitality","^ff3600^[No Skyfall Combos]^p, 4x ATK when attacking with 4+ Att.;
5x ATK when 6 Orbs or less remain on the board","No skyfall combos. ATK x5 when there are 6 or less orbs on the board after matching.
All Attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light & Dark."
"Ethereal Origins","5x ATK when HP 80% or more, 2.5x ATK when 79% or less;
3.5x ATK & reduces dmg when Dark & Wood attack at once","Fire, Water, Wood, Light & Dark cards ATK x5 when HP is 80% or more. ATK x2.5 when HP is 80% or less.
All Attribute cards ATK x3.5, 25% all damage reduction when attacking with 2 Wood & Dark combos at the same time."
"Ethereal Origins","5x ATK when HP 80% or more, 2.5x ATK when 79% or less;
3.5x ATK & reduces dmg when Dark & Wood attack at once","Fire, Water, Wood, Light & Dark cards ATK x5 when HP is 80% or more. ATK x2.5 when HP is 80% or less.
All Attribute cards ATK x3.5, 25% all damage reduction when attacking with 2 Wood & Dark combos at the same time."
"Hellish Incitement","6x ATK with 3+ Dk+Dk+Wd or Dk+Wd+Wd combos;
2x ATK & RCV with 7+ combos","All Attribute cards ATK x6 when reaching 3 Dark combos.
All Attribute cards ATK x2, RCV x2 when reaching 7 or more combos."
"Catastrophe Sword","1.5x to all stats for Machine Type;
ATK increases with 2+ Att., up to 7x","Machine Type cards HP x1.5, ATK x1.5, RCV x1.5.
All Attribute cards ATK x2.5 when attacking with 2 of following orb types: Fire, Water, Wood, Light & Dark. ATK x1.5 for each additional orb type, up to ATK x7 for all 5 matches."
"I'll be the happiest girl in the world!","1.5x HP & 3x ATK for God & Machine Types;
5x ATK for Att. erasing 5 Orbs including enhanced","God & Machine Type cards HP x1.5, ATK x3.
Matched attribute ATK x5 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"Cheers to us!","1.5x HP & ATK for God & Machine Types;
2.5x ATK with 2 Light combos, 3.5x ATK with 3+ combos","God & Machine Type cards HP x1.5, ATK x1.5.
All Attribute cards ATK x2.5 when reaching 2 Light combos. Attack multiplier increases by 1 for each additional combo, up to ATK x3.5 when reaching 3 Light combos."
"Please stop looking at me like that...","1.5x to all stats for Dark Att.;
3x ATK when Dark & Light attack at once","Dark Attribute cards HP x1.5, ATK x1.5, RCV x1.5.
All Attribute cards ATK x3 when reaching 2 Dark combos."
"None","","No Leader Skill"
"None","","No Leader Skill"
"てま崩壊","^ff3600^【操作時間4秒】^p光の2コンボで攻撃力が3倍、
3コンボ以上で6倍。悪魔タイプのHPと攻撃力が2倍。","Fixed orb movement time at 4 seconds. Devil Type cards HP x2, ATK x2.
All Attribute cards ATK x3 when reaching 2 Light combos. Attack multiplier increases by 3 for each additional combo, up to ATK x6 when reaching 3 Light combos."
"None","",""
"Fires of War","4x ATK & reduces damage when 3+ Att. attack at once;
4x ATK for Att. erasing 5 Orbs including enhanced","All Attribute cards ATK x4, reduce damage taken by 25% when attacking with 3 of Fire, Water, Wood, Light & Dark orb types at the same time.
Matched attribute ATK x4 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"Element of Treachery","3x ATK & reduces damage when 3+ Att. attack at once;
5x ATK & reduces damage with an L shape of 5 Orbs","All Attribute cards ATK x3, reduce damage taken by 25% when attacking with 3 of Fire, Water, Wood, Light & Dark orb types at the same time.
All Attribute cards cards ATK x5, reduce damage taken by 25% when matching Fire, Water, Wood, Light, Dark, Heart, Jammer, Poison or Mortal Poison orbs in a L formation."
"Shoulder Tackle","2x HP & ATK for Attacker & Physical Types, Orb move time
+2 sec; 6x ATK for Att. erasing 5 Orbs incl. enhanced","Physical & Attacker Type cards HP x2, ATK x2. Increases time limit of orb movement by 2 seconds.
Matched attribute ATK x6 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"Fire Tackle","2x HP & ATK for Attacker & Physical Types, Orb move time
+2 sec; 7x ATK for Att. erasing 5 Orbs incl. enhanced","Physical & Attacker Type cards HP x2, ATK x2. Increases time limit of orb movement by 2 seconds.
Matched attribute ATK x7 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"Piercer","2x ATK for Water Att., Orb move time +2 seconds;
8x ATK for Att. erasing 5 Orbs including enhanced","Water Attribute cards ATK x2. Increases time limit of orb movement by 2 seconds.
Matched attribute ATK x8 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"Trigger-Happy","2x ATK for Water Att., Orb move time +2 seconds;
10x ATK for Att. erasing 5 Orbs including enhanced","Water Attribute cards ATK x2. Increases time limit of orb movement by 2 seconds.
Matched attribute ATK x10 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"Mirajewel","1.5x HP & ATK for Light Att., Orb move time +2 seconds;
5x ATK for Att. erasing 5 Orbs including enhanced","Light Attribute cards HP x1.5, ATK x1.5. Increases time limit of orb movement by 2 seconds.
Matched attribute ATK x5 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"Stack","1.5x HP & ATK for Lt & Dk Att., Orb move time +2 sec;
6x ATK for Att. erasing 5 Orbs including enhanced","Light & Dark Attribute cards HP x1.5, ATK x1.5. Increases time limit of orb movement by 2 seconds.
Matched attribute ATK x6 when matching exactly 5 connected orbs with at least 1 enhanced orb."
"Growing Threat","4x ATK when HP is 20% or less;
halves non-Dark Att. damage","Fire, Water, Wood, Light & Dark Attribute cards ATK x4 when HP is less than 20%.
50% Fire, Water, Wood & Light damage reduction."
"None","",""
"None","",""
"None","",""
