Name, Skill CD (Max), # of Skillups, In-Game Description, Parsed Description
"Promise Bouquet - Light","10","6","Changes Jammers, Wood, Heal & Poison to Light;
Light Orbs slightly more likely to appear for 4 turns","Changes Wood, Heart, Jammer, Poison & Mortal Poison orbs into Light orbs.
Increase skyfall chance of Light orbs by 15% for 4 turns."
"Dream Dragon Dance - White Cloud","7","6","Changes Jammers, Water & Poison Orbs to Light Orbs; other allies' skills charged by 1 turn","Changes Water, Jammer, Poison & Mortal Poison orbs into Light orbs.
Team skills charged by 1 to 1 turns."
"Wakizashi's Vow","8","6","Changes Fire Orbs to Light Orbs & Water Orbs to Heal Orbs; Light Orbs enhanced","Change Fire orbs to Light orbs, Water orbs to Heart orbs.
Enhance Light orbs."
"Moon Phase","7","16","Changes 7 non-Light Orbs to Heal Orbs; move Orbs freely for 12 seconds","Randomly spawn 7 Heart orbs each from non Light & Heart orbs.
Move orbs freely for 0.12 seconds."
"Moon Phase","7","16","Changes 7 non-Light Orbs to Heal Orbs; move Orbs freely for 12 seconds","Randomly spawn 7 Heart orbs each from non Light & Heart orbs.
Move orbs freely for 0.12 seconds."
"Moon Phase","7","16","Changes 7 non-Light Orbs to Heal Orbs; move Orbs freely for 12 seconds","Randomly spawn 7 Heart orbs each from non Light & Heart orbs.
Move orbs freely for 0.12 seconds."
"Dimension Formation - Scarlet Sun","7","6","Creates 5 Fire & Light Orbs each at random;
other allies' skills charged by 1 turn","Randomly spawn 5 Fire & Light orbs each from non Fire & Light orbs.
Team skills charged by 1 to 1 turns."
"Dimension Formation - Blue Life","7","6","Creates 5 Water & Heal Orbs each at random;
other allies' skills charged by 1 turn","Randomly spawn 5 Water & Heart orbs each from non Water & Heart orbs.
Team skills charged by 1 to 1 turns."
"Dimension Formation - Green Life","7","6","Creates 5 Wood & Heal Orbs each at random;
other allies' skills charged by 1 turn","Randomly spawn 5 Wood & Heart orbs each from non Wood & Heart orbs.
Team skills charged by 1 to 1 turns."
"くらえ！","4","6","バインド状態を4ターン回復。","4 turn bind recovery."
"くらえ！","4","6","バインド状態を4ターン回復。","4 turn bind recovery."
"真宵ちゃん・キック！","10","11","敵1体に自分の攻撃力分の攻撃。
1ターンの間、受けるダメージを激減。","Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x1 to all enemies. Affected by enemy element and defense.
75% damage reduction for 1 turns."
"みぬく","13","11","1ターンの間、敵の防御力が半減。
敵の行動を1ターン遅らせる。","Reduce enemies' defense by 50% for 1 turn. Effects carry forward on sweep.
Delay 1 turns to all enemies."
"御魂の託宣","7","11","6秒間、時を止めてドロップを動かせる。
闇と回復ドロップを強化。","Enhance Dark & Heart orbs.
Move orbs freely for 0.06 seconds."
"Show them your burning soul!!","3","16","Creates 3 Fire Orbs at random","Randomly spawn 3 Fire orbs each from non Fire orbs."
"Heaven-Shaking Lightning Wall","13","5","2x RCV & vastly reduces damage for 2 turns;
other allies' skills charged by 1 turn","All Attribute cards RCV x2 for 2 turns.
75% damage reduction for 2 turns.
Team skills charged by 1 to 1 turns."
"Abyssal Strike","6","7","The less HP you have, the more Dark dmg caused to all enemies; 2x ATK for Dark Att. for 1 turn","Inflict Dark damage to all enemies based on player's HP (40x at full HP, up to x200 at 1 HP). Affected by enemy element and defense.
Dark Attribute ATK x2 for 1 turns."
"Recovery Encouragement","8","5","2x RCV for 4 turns;
bind status reduced by 4 turns","All Attribute cards RCV x2 for 4 turns.
4 turn bind recovery."
"Soul of the Sea God","8","5","Changes Fire Orbs to Water, Heal to Dark, and
Jammers & Poison to Wood; recovers 10,000 HP","Change Fire orbs to Water orbs, Heart orbs to Dark orbs.
Changes Jammer, Poison & Mortal Poison orbs into Wood orbs.
"
"Blessed Protection","10","5","Vastly reduces damage for 1 turn;
adds 1 combo for 1 turn","75% damage reduction for 1 turns.
+1 combo counts for 1 turn."
"Dawn of the Celestial Ocean","3","8","2x ATK for God & Balanced for 1 turn; inflicts 100,000 Light damage on 1 enemy but halves HP","Balanced & God Type cards ATK x2 for 1 turns.
Inflict 0 Light damage to 1 enemy but HP falls to 50%. Affected by enemy element and defense."
"Masterful Foundation","11","5","Delays enemies' next move for 2 turns;
1.5x ATK for Dark Att. & 1.5x Orb move time for 2 turns","Delay 2 turns to all enemies.
Dark Attribute ATK x1.5 for 2 turns.
1.5x orb move time for 2 turn."
"Justice Mode","8","16","1.5x ATK for Machine Type for 1 turn; bind status reduced by 3 turns","Machine Type cards ATK x1.5 for 1 turn.
3 turn bind recovery."
"Justice Mode","8","16","1.5x ATK for Machine Type for 1 turn; bind status reduced by 3 turns","Machine Type cards ATK x1.5 for 1 turn.
3 turn bind recovery."
"Justice Mode","8","16","1.5x ATK for Machine Type for 1 turn; bind status reduced by 3 turns","Machine Type cards ATK x1.5 for 1 turn.
3 turn bind recovery."
"Justice Mode","8","16","1.5x ATK for Machine Type for 1 turn; bind status reduced by 3 turns","Machine Type cards ATK x1.5 for 1 turn.
3 turn bind recovery."
"Melting Masks","7","6","Creates 5 Fire & Heal Orbs each at random; 
other allies' skills charged by 1 turn","Randomly spawn 5 Fire & Heart orbs each from non Fire & Heart orbs.
Team skills charged by 1 to 1 turns."
"Melting Masks","7","6","Creates 5 Fire & Heal Orbs each at random; 
other allies' skills charged by 1 turn","Randomly spawn 5 Fire & Heart orbs each from non Fire & Heart orbs.
Team skills charged by 1 to 1 turns."
"Water Ring Jail","8","6","Changes Fire & Wood Orbs to Water Orbs;
1.5x Orb move time for 1 turn","Changes Fire & Wood orbs into Water orbs.
1.5x orb move time for 1 turn."
"Water Ring Jail","8","6","Changes Fire & Wood Orbs to Water Orbs;
1.5x Orb move time for 1 turn","Changes Fire & Wood orbs into Water orbs.
1.5x orb move time for 1 turn."
"Hurricane Shout","3","6","2 non-Wood Orbs change to Heal Orbs; changes Jammers & Poison Orbs to Wood Orbs","Randomly spawn 2 Heart orbs each from non Wood & Heart orbs.
Changes Jammer, Poison & Mortal Poison orbs into Wood orbs."
"Hurricane Shout","3","6","2 non-Wood Orbs change to Heal Orbs; changes Jammers & Poison Orbs to Wood Orbs","Randomly spawn 2 Heart orbs each from non Wood & Heart orbs.
Changes Jammer, Poison & Mortal Poison orbs into Wood orbs."
"Sparkling Lips","7","6","Creates 5 Light and Heal Orbs each at random; 
other allies' skills charged by 1 turn","Randomly spawn 5 Light & Heart orbs each from non Light & Heart orbs.
Team skills charged by 1 to 1 turns."
"Sparkling Lips","7","6","Creates 5 Light and Heal Orbs each at random; 
other allies' skills charged by 1 turn","Randomly spawn 5 Light & Heart orbs each from non Light & Heart orbs.
Team skills charged by 1 to 1 turns."
"Mysterious Words","6","6","Creates 3 Dark & Heal Orbs each at random; reduces bind
status (incl. Awoken) & unmatchable Orb status by 3 turns","Randomly spawn 3 Dark & Heart orbs each from non Dark & Heart orbs.
Reduces unmatchable orb status by 3 turns.
3 turn bind recovery. 3 turn awoken bind recovery."
"Mysterious Words","6","6","Creates 3 Dark & Heal Orbs each at random; reduces bind
status (incl. Awoken) & unmatchable Orb status by 3 turns","Randomly spawn 3 Dark & Heart orbs each from non Dark & Heart orbs.
Reduces unmatchable orb status by 3 turns.
3 turn bind recovery. 3 turn awoken bind recovery."
"Dimension Formation - Scarlet Sun","7","6","Creates 5 Fire & Light Orbs each at random;
other allies' skills charged by 1 turn","Randomly spawn 5 Fire & Light orbs each from non Fire & Light orbs.
Team skills charged by 1 to 1 turns."
"Dimension Formation - Blue Life","7","6","Creates 5 Water & Heal Orbs each at random;
other allies' skills charged by 1 turn","Randomly spawn 5 Water & Heart orbs each from non Water & Heart orbs.
Team skills charged by 1 to 1 turns."
"Dimension Formation - Green Life","7","6","Creates 5 Wood & Heal Orbs each at random;
other allies' skills charged by 1 turn","Randomly spawn 5 Wood & Heart orbs each from non Wood & Heart orbs.
Team skills charged by 1 to 1 turns."
"俺の決闘は終わってねぇ！","9","6","3ターンの間、ドラゴンタイプの攻撃力が1.5倍。
自分以外の味方スキルが1ターン溜まる。","Dragon Type cards ATK x1.5 for 3 turn.
Team skills charged by 1 to 1 turns."
"俺の決闘は終わってねぇ！","9","6","3ターンの間、ドラゴンタイプの攻撃力が1.5倍。
自分以外の味方スキルが1ターン溜まる。","Dragon Type cards ATK x1.5 for 3 turn.
Team skills charged by 1 to 1 turns."
"Astral Blast","22","6","Reduces enemies' remaining HP by 40%, adds 2 combos
for 1 turn; other allies' skills charged by 1 turn","Reduce all enemies' HP by 40%. Ignore enemy element and defense.
+2 combo counts for 1 turn.
Team skills charged by 1 to 1 turns."
"Astral Blast","22","6","Reduces enemies' remaining HP by 40%, adds 2 combos
for 1 turn; other allies' skills charged by 1 turn","Reduce all enemies' HP by 40%. Ignore enemy element and defense.
+2 combo counts for 1 turn.
Team skills charged by 1 to 1 turns."
"Astral Blast","22","6","Reduces enemies' remaining HP by 40%, adds 2 combos
for 1 turn; other allies' skills charged by 1 turn","Reduce all enemies' HP by 40%. Ignore enemy element and defense.
+2 combo counts for 1 turn.
Team skills charged by 1 to 1 turns."
"Secret Special Training!","7","11","Reduces dmg with number of [Resistance-Skill Bind] Awoken Skills in team for 1 turn","For 1 turns, gain 8% damage reduction for every Resistance-Skill Bind awakening on team."
"Secret Special Training!","7","11","Reduces dmg with number of [Resistance-Skill Bind] Awoken Skills in team for 1 turn","For 1 turns, gain 8% damage reduction for every Resistance-Skill Bind awakening on team."
"Astral Blast","22","6","Reduces enemies' remaining HP by 40%, adds 2 combos
for 1 turn; other allies' skills charged by 1 turn","Reduces enemies' remaining HP by 40%, adds 2 combos
for 1 turn; other allies' skills charged by 1 turn"
"Abyssal Stroke","8","9","Changes the leftmost column to Water Orbs; bind status reduced by 3 turns","Change the leftmost column into Water orbs.
3 turn bind recovery."
"Shining Stroke","8","9","Wt & Lt Orbs more likely to appear for 1 turn; creates 3 Water & Light Orbs each at random","Increase skyfall chance of Water & Light orbs by 10% for 1 turns.
Randomly spawn 3 Water & Light orbs each from non Water & Light orbs."
"Shining Abyssal Gate","8","5","Creates 3 Water & Light Orbs each at random; reduces damage for 1 turn","Randomly spawn 3 Water & Light orbs each from non Water & Light orbs.
35% damage reduction for 1 turns."
"Earnest Mode","13","16","Changes Water & Poison Orbs to Jammers; other allies' skills charged by 2 turns","Changes Water, Poison & Mortal Poison orbs into Jammer orbs.
Team skills charged by 2 to 2 turns."
"Earnest Mode","13","16","Changes Water & Poison Orbs to Jammers; other allies' skills charged by 2 turns","Changes Water, Poison & Mortal Poison orbs into Jammer orbs.
Team skills charged by 2 to 2 turns."
"Earnest Mode","13","16","Changes Water & Poison Orbs to Jammers; other allies' skills charged by 2 turns","Changes Water, Poison & Mortal Poison orbs into Jammer orbs.
Team skills charged by 2 to 2 turns."
"Earnest Mode","13","16","Changes Water & Poison Orbs to Jammers; other allies' skills charged by 2 turns","Changes Water, Poison & Mortal Poison orbs into Jammer orbs.
Team skills charged by 2 to 2 turns."
"Hiten Mitsurugi-ryu: Ryushosen","6","6","Fire & Light Orbs slightly more likely to appear for
2 turns; creates 2 Fire & Light Orbs each at random","Increase skyfall chance of Fire & Light orbs by 10% for 2 turns.
Randomly spawn 2 Fire & Light orbs each from non Fire & Light orbs."
"Hiten Mitsurugi-ryu: Ryushosen","6","6","Fire & Light Orbs slightly more likely to appear for
2 turns; creates 2 Fire & Light Orbs each at random","Increase skyfall chance of Fire & Light orbs by 10% for 2 turns.
Randomly spawn 2 Fire & Light orbs each from non Fire & Light orbs."
"Swords that give life","12","6","Changes the top row to Water Orbs & bottom row
to Light Orbs; recovers 50% HP","Change the top row into Water orbs. Change the bottom row into Light orbs.
Recover 50% of max HP."
"Swords that give life","12","6","Changes the top row to Water Orbs & bottom row
to Light Orbs; recovers 50% HP","Change the top row into Water orbs. Change the bottom row into Light orbs.
Recover 50% of max HP."
"Miyomimane Ryutsuisen","5","6","Changes the rightmost column to Light Orbs","Change the rightmost column into Light orbs."
"Miyomimane Ryutsuisen","5","6","Changes the rightmost column to Light Orbs","Change the rightmost column into Light orbs."
"Futae no Kiwami","7","6","Voids enemies' DEF for 1 turn; inflicts 100,000 Wood damage on 1 enemy but halves overall HP","Reduce enemies' defense by 100% for 1 turn. Effects carry forward on sweep.
Inflict 0 Wood damage to 1 enemy but HP falls to 50%. Affected by enemy element and defense."
"Futae no Kiwami","7","6","Voids enemies' DEF for 1 turn; inflicts 100,000 Wood damage on 1 enemy but halves overall HP","Reduce enemies' defense by 100% for 1 turn. Effects carry forward on sweep.
Inflict 0 Wood damage to 1 enemy but HP falls to 50%. Affected by enemy element and defense."
"Family's Medicine","9","6","Changes Jammers, Poison & Dark Orbs to Heal Orbs; bind status reduced by 5 turns","Changes Dark, Jammer, Poison & Mortal Poison orbs into Heart orbs.
5 turn bind recovery."
"Family's Medicine","9","6","Changes Jammers, Poison & Dark Orbs to Heal Orbs; bind status reduced by 5 turns","Changes Dark, Jammer, Poison & Mortal Poison orbs into Heart orbs.
5 turn bind recovery."
"Kaiten-Kenbu Rokuren","8","7","Water Orbs slightly more likely to appear for 2 turns; creates 6 Water Orbs at random","Increase skyfall chance of Water orbs by 15% for 2 turns.
Randomly spawn 6 Water orbs each from non Water orbs."
"Kaiten-Kenbu Rokuren","8","7","Water Orbs slightly more likely to appear for 2 turns; creates 6 Water Orbs at random","Increase skyfall chance of Water orbs by 15% for 2 turns.
Randomly spawn 6 Water orbs each from non Water orbs."
"Kansatsu Tobikunai","6","6","Changes Light Orbs & Jammers to Fire Orbs;
recovers 30% HP","Changes Light & Jammer orbs into Fire orbs.
Recover 30% of max HP."
"Kansatsu Tobikunai","6","6","Changes Light Orbs & Jammers to Fire Orbs;
recovers 30% HP","Changes Light & Jammer orbs into Fire orbs.
Recover 30% of max HP."
"Gatotsu","10","6","Inflicts 200,000 damage on 1 enemy;
creates 5 Dark Orbs at random","Deal 200,000 damage to 1 enemy. Ignore enemy element and defense.
Randomly spawn 5 Dark orbs each from non Dark orbs."
"Gatotsu","10","6","Inflicts 200,000 damage on 1 enemy;
creates 5 Dark Orbs at random","Deal 200,000 damage to 1 enemy. Ignore enemy element and defense.
Randomly spawn 5 Dark orbs each from non Dark orbs."
"Shukuchi","3","6","Inflicts 99 damage on 1 enemy; creates 2 Light Orbs at random","Deal 99 damage to 1 enemy. Ignore enemy element and defense.
Randomly spawn 2 Light orbs each from non Light orbs."
"Shukuchi","3","6","Inflicts 99 damage on 1 enemy; creates 2 Light Orbs at random","Deal 99 damage to 1 enemy. Ignore enemy element and defense.
Randomly spawn 2 Light orbs each from non Light orbs."
"Midare Benten","8","6","Inflicts 99 damage on all enemies; Wood Orbs slightly more likely to appear for 3 turns","Deal 99 damage to all enemies. Ignore enemy element and defense.
Increase skyfall chance of Wood orbs by 15% for 3 turns."
"Midare Benten","8","6","Inflicts 99 damage on all enemies; Wood Orbs slightly more likely to appear for 3 turns","Deal 99 damage to all enemies. Ignore enemy element and defense.
Increase skyfall chance of Wood orbs by 15% for 3 turns."
"Secret Blow","8","11","Inflicts 100,000 Fire dmg on 1 enemy but halves overall HP; delays enemies' next move for 1 turn","Inflict 0 Fire damage to 1 enemy but HP falls to 50%. Affected by enemy element and defense.
Delay 1 turns to all enemies."
"Secret Blow","8","11","Inflicts 100,000 Fire dmg on 1 enemy but halves overall HP; delays enemies' next move for 1 turn","Inflict 0 Fire damage to 1 enemy but HP falls to 50%. Affected by enemy element and defense.
Delay 1 turns to all enemies."
"As an Abomination","8","11","Changes Light Orbs to Wood Orbs, Water Orbs to Dark Orbs & Jammers to Fire Orbs","Change Light orbs to Wood orbs, Water orbs to Dark orbs.
Changes Jammer orbs into Fire orbs."
"As an Abomination","8","11","Changes Light Orbs to Wood Orbs, Water Orbs to Dark Orbs & Jammers to Fire Orbs","Change Light orbs to Wood orbs, Water orbs to Dark orbs.
Changes Jammer orbs into Fire orbs."
"Heritage Sword Hyakka Ryoran","8","11","Creates 4 Jammers, Water & Dark Orbs each at random","Randomly spawn 4 Water, Dark & Jammer orbs each from non Water, Dark & Jammer orbs."
"Heritage Sword Hyakka Ryoran","8","11","Creates 4 Jammers, Water & Dark Orbs each at random","Randomly spawn 4 Water, Dark & Jammer orbs each from non Water, Dark & Jammer orbs."
"Mission of Salvation","12","11","Voids enemies' DEF for 1 turn; inflicts 50x ATK Dark Att. Mass Attack","Reduce enemies' defense by 100% for 1 turn. Effects carry forward on sweep.
Inflict Dark damage equal to ATK x50 to all enemies. Affected by enemy element and defense."
"Mission of Salvation","12","11","Voids enemies' DEF for 1 turn; inflicts 50x ATK Dark Att. Mass Attack","Reduce enemies' defense by 100% for 1 turn. Effects carry forward on sweep.
Inflict Dark damage equal to ATK x50 to all enemies. Affected by enemy element and defense."
"Killing Sword of Shakku's","6","11","Reduces damage for 2 turns; inflicts 50x ATK Dark Att. Mass Attack","35% damage reduction for 2 turns.
Inflict Dark damage equal to ATK x50 to all enemies. Affected by enemy element and defense."
"Killing Sword of Shakku's","6","11","Reduces damage for 2 turns; inflicts 50x ATK Dark Att. Mass Attack","35% damage reduction for 2 turns.
Inflict Dark damage equal to ATK x50 to all enemies. Affected by enemy element and defense."
"Hiten Mitsurugi-ryu: Ryushosen","6","6","Fire & Light Orbs slightly more likely to appear for
2 turns; creates 2 Fire & Light Orbs each at random","Fire & Light Orbs slightly more likely to appear for
2 turns; creates 2 Fire & Light Orbs each at random"
"Futae no Kiwami","7","6","Voids enemies' DEF for 1 turn; inflicts 100,000 Wood damage on 1 enemy but halves overall HP","Voids enemies' DEF for 1 turn; inflicts 100,000 Wood damage on 1 enemy but halves overall HP"
"Kaiten-Kenbu Rokuren","8","7","Water Orbs slightly more likely to appear for 2 turns; creates 6 Water Orbs at random","Water Orbs slightly more likely to appear for 2 turns; creates 6 Water Orbs at random"
"Gatotsu","10","6","Inflicts 200,000 damage on 1 enemy;
creates 5 Dark Orbs at random","Inflicts 200,000 damage on 1 enemy;
creates 5 Dark Orbs at random"
"Shukuchi","3","6","Inflicts 99 damage on 1 enemy; creates 2 Light Orbs at random","Inflicts 99 damage on 1 enemy; creates 2 Light Orbs at random"
"Astrocharge - Flare","7","6","Changes Jammers, Poison & Heal Orbs to Fire Orbs; other allies' skills charged by 1 turn","Changes Heart, Jammer, Poison & Mortal Poison orbs into Fire orbs.
Team skills charged by 1 to 1 turns."
"Astrocharge - Flare","7","6","Changes Jammers, Poison & Heal Orbs to Fire Orbs; other allies' skills charged by 1 turn","Changes Heart, Jammer, Poison & Mortal Poison orbs into Fire orbs.
Team skills charged by 1 to 1 turns."
"Astrocharge - Aqua","7","6","Changes Jammers, Poison & Heal Orbs to Water Orbs; other allies' skills charged by 1 turn","Changes Heart, Jammer, Poison & Mortal Poison orbs into Water orbs.
Team skills charged by 1 to 1 turns."
"Astrocharge - Aqua","7","6","Changes Jammers, Poison & Heal Orbs to Water Orbs; other allies' skills charged by 1 turn","Changes Heart, Jammer, Poison & Mortal Poison orbs into Water orbs.
Team skills charged by 1 to 1 turns."
"Astrocharge - Land","7","6","Changes Jammers, Poison & Heal Orbs to Wood Orbs; other allies' skills charged by 1 turn","Changes Heart, Jammer, Poison & Mortal Poison orbs into Wood orbs.
Team skills charged by 1 to 1 turns."
"Astrocharge - Land","7","6","Changes Jammers, Poison & Heal Orbs to Wood Orbs; other allies' skills charged by 1 turn","Changes Heart, Jammer, Poison & Mortal Poison orbs into Wood orbs.
Team skills charged by 1 to 1 turns."
"Astrocharge - Light","7","6","Changes Jammers, Poison & Heal Orbs to Light Orbs; other allies' skills charged by 1 turn","Changes Heart, Jammer, Poison & Mortal Poison orbs into Light orbs.
Team skills charged by 1 to 1 turns."
"Astrocharge - Light","7","6","Changes Jammers, Poison & Heal Orbs to Light Orbs; other allies' skills charged by 1 turn","Changes Heart, Jammer, Poison & Mortal Poison orbs into Light orbs.
Team skills charged by 1 to 1 turns."
"Astrocharge - Dark","7","6","Changes Jammers, Poison & Heal Orbs to Dark Orbs; other allies' skills charged by 1 turn","Changes Heart, Jammer, Poison & Mortal Poison orbs into Dark orbs.
Team skills charged by 1 to 1 turns."
"Astrocharge - Dark","7","6","Changes Jammers, Poison & Heal Orbs to Dark Orbs; other allies' skills charged by 1 turn","Changes Heart, Jammer, Poison & Mortal Poison orbs into Dark orbs.
Team skills charged by 1 to 1 turns."
"Draco Summoning Circle-Fr & Dk","12","8","Changes all Orbs to Fire & Dark Orbs","Change all orbs to Fire & Dark orbs."
"Draco Summoning Circle-Wt & Dk","12","8","Changes all Orbs to Water & Dark Orbs","Change all orbs to Water & Dark orbs."
"Draco Summoning Circle-Wd & Dk","12","8","Changes all Orbs to Wood & Dark Orbs","Change all orbs to Wood & Dark orbs."
"はーい、Pepperです","8","1","チーム内の光ドロップ強化の覚醒数に応じてHP回復。","Heal 2x RCV as HP for every Enhanced Light Orbs awakening on team."
"ペッ・ペッ・ペッ・パー！","4","1","1ターンの間、受けるダメージを軽減。","35% damage reduction for 1 turns."
"Fire Awakening","6","10","Fire Orbs slightly more likely to appear for
3 turns; 2 Fire Orbs created at random","Increase skyfall chance of Fire orbs by 15% for 3 turns.
Randomly spawn 2 Fire orbs each from non Fire orbs."
"Water Awakening","6","10","Water Orbs slightly more likely to appear for
3 turns; 2 Water Orbs created at random","Increase skyfall chance of Water orbs by 15% for 3 turns.
Randomly spawn 2 Water orbs each from non Water orbs."
"Wood Awakening","6","10","Wood Orbs slightly more likely to appear for
3 turns; 2 Wood Orbs created at random","Increase skyfall chance of Wood orbs by 15% for 3 turns.
Randomly spawn 2 Wood orbs each from non Wood orbs."
"Incisive Brilliance","13","12","Voids damage received for 1 turn; all Orbs enhanced","100% damage reduction for 1 turns.
Enhance Fire, Water, Wood, Light, Dark & Heart orbs."
"Divine Instrument Strike","8","6","2.5x ATK for God & Devil Types for 2 turns; 40x
ATK Dark attack on 1 enemy but HP falls to 1","God & Devil Type cards ATK x2.5 for 2 turns.
Inflict a 40x Dark attack to 1 enemy but HP falls to 1. Affected by enemy element and defense."
"Charge of Aegis","7","16","Wood, Light & Heal Orbs enhanced, removes Orb
locks; other allies' skills charged by 1 turn","Enhance Wood, Light & Heart orbs.
Unlock all orbs.
Team skills charged by 1 to 1 turns."
"Charge of Aegis","7","16","Wood, Light & Heal Orbs enhanced, removes Orb
locks; other allies' skills charged by 1 turn","Enhance Wood, Light & Heart orbs.
Unlock all orbs.
Team skills charged by 1 to 1 turns."
"What Color is Your Blood?!","6","6","Changes Heal, Jammers & Poison Orbs to Water;
ATK increases a little for Attacker Type for 1 turn","Changes Heart, Jammer, Poison & Mortal Poison orbs into Water orbs.
Attacker Type cards ATK x1.3 for 1 turn."
"Tokei Koho","13","8","Voids damage received for 1 turn, fully recovers bind
status; reduces unmatchable Orb status by 5 turns","100% damage reduction for 1 turns.
9999 turn bind recovery.
Reduces unmatchable orb status by 5 turns."
"The time to annihilate you has come","5","6","Changes the rightmost column to Wood Orbs; Wood Orbs enhanced","Change the rightmost column into Wood orbs.
Enhance Wood orbs."
"The time to annihilate you has come","5","6","Changes the rightmost column to Wood Orbs; Wood Orbs enhanced","Change the rightmost column into Wood orbs.
Enhance Wood orbs."
"You and your ambition burn to ashes!","5","6","Changes the rightmost column to Fire Orbs; Fire Orbs enhanced","Change the rightmost column into Fire orbs.
Enhance Fire orbs."
"You and your ambition burn to ashes!","5","6","Changes the rightmost column to Fire Orbs; Fire Orbs enhanced","Change the rightmost column into Fire orbs.
Enhance Fire orbs."
"Keeeeeeen!","8","6","Fully recovers bind status, removes Orb locks;
other allies' skills charged by 1 turn","9999 turn bind recovery.
Unlock all orbs.
Team skills charged by 1 to 1 turns."
"Keeeeeeen!","8","6","Fully recovers bind status, removes Orb locks;
other allies' skills charged by 1 turn","9999 turn bind recovery.
Unlock all orbs.
Team skills charged by 1 to 1 turns."
"Mirage Flare","13","6","20x ATK attack on 1 enemy, recovers half of dmg in HP; 2x ATK for Dragon & Devil for 1 turn","Inflict 20x Fire damage to 1 enemy. Recover 50% of the damage dealt as HP. Affected by enemy element and defense.
Dragon & Devil Type cards ATK x2 for 1 turns."
"Blood Howl","6","10","Dark Orbs enhanced; reduces damage for 2 turns","Enhance Dark orbs.
35% damage reduction for 2 turns."
"Berserk","7","6","Changes Heal Orbs to Poison Orbs,
plus 2x ATK for Dragon Type for 1 turn","Change Heart orbs to Poison orbs.
Dragon Type cards ATK x2 for 1 turn."
"Show me your burning soul!!","3","16","Creates 3 Light Orbs at random","Randomly spawn 3 Light orbs each from non Light orbs."
"Show me your burning soul!!","3","16","Creates 3 Light Orbs at random","Randomly spawn 3 Light orbs each from non Light orbs."
"Attack Stance - Light X","6","5","Changes Heal Orbs to Light Orbs; Light Orbs enhanced","Changes Heart orbs into Light orbs.
Enhance Light orbs."
"Shower of Healing X","12","5","Fully recovers HP & bind status;
other allies' skills charged by 1 turn","Recover 100% of max HP. 9999 turn bind recovery.
Team skills charged by 1 to 1 turns."
"Sunset Zone X","13","5","Changes Orbs to Fire, Water, Dark & Heal Orbs; other allies' skills charged by 2 turns","Change all orbs to Fire, Water, Dark & Heart orbs.
Team skills charged by 2 to 2 turns."
"Inferno Blast","11","21","Inflicts 1,000 damage on all enemies; changes the top row to Fire Orbs","Deal 1,000 damage to all enemies. Ignore enemy element and defense.
Change the top row into Fire orbs."
"Mirage Blade","11","21","Inflicts 1,000 damage on all enemies; changes the top row to Water Orbs","Deal 1,000 damage to all enemies. Ignore enemy element and defense.
Change the top row into Water orbs."
"Wind Spiral","11","21","Inflicts 1,000 damage on all enemies; changes the top row to Wood Orbs","Deal 1,000 damage to all enemies. Ignore enemy element and defense.
Change the top row into Wood orbs."
"ファミ通Appの熱気","12","6","1ターンの間、マシンタイプの攻撃力が3倍。","Machine Type cards ATK x3 for 1 turn."
"Gungnir X","9","5","Inflicts 50x ATK Light Att. on 1 enemy, some HP is recovered; bind status reduced by 5 turns","Inflict 50x Light damage to 1 enemy. Recover 15% of the damage dealt as HP. Affected by enemy element and defense.
5 turn bind recovery."
"Abyss Dark Ring","9","7","Changes Orbs to Water, Dark & Heal Orbs;
other allies' skills charged by 1 turn","Change all orbs to Water, Dark & Heart orbs.
Team skills charged by 1 to 1 turns."
"Storm Light Ring","10","6","Changes Orbs to Wood, Light & Heal Orbs;
other allies' skills charged by 1 turn","Change all orbs to Wood, Light & Heart orbs.
Team skills charged by 1 to 1 turns."
"Shine Flare Ring","10","6","Changes Orbs to Fire, Light & Heal Orbs;
other allies' skills charged by 1 turn","Change all orbs to Fire, Light & Heart orbs.
Team skills charged by 1 to 1 turns."
"Five Colored Alchemy","7","6","Changes Orbs to all Attributes","Change all orbs to Fire, Water, Wood, Light & Dark orbs."
"Puzzle & Dragons W","12","14","2x Orb move time for 2 turns;
2x ATK for Dragon Type for 2 turns","2x orb move time for 2 turn.
Dragon Type cards ATK x2 for 2 turn."
"Crimson Cross Spear","8","6","Changes Water Orbs to Fire Orbs & Light Orbs
to Heal Orbs; Fire Orbs enhanced","Change Water orbs to Fire orbs, Light orbs to Heart orbs.
Enhance Fire orbs."
"Crimson Cross Spear","8","6","Changes Water Orbs to Fire Orbs & Light Orbs
to Heal Orbs; Fire Orbs enhanced","Change Water orbs to Fire orbs, Light orbs to Heart orbs.
Enhance Fire orbs."
"Parable of the Three Arrows","14","6","Changes all Orbs to Fire & Water Orbs;
other allies' skills charged by 2 turns","Change all orbs to Fire & Water orbs.
Team skills charged by 2 to 2 turns."
"Parable of the Three Arrows","14","6","Changes all Orbs to Fire & Water Orbs;
other allies' skills charged by 2 turns","Change all orbs to Fire & Water orbs.
Team skills charged by 2 to 2 turns."
"Heroic Blade","13","6","Changes Orbs to Wood, Dark & Heal Orbs;
other allies' skills charged by 2 turns","Change all orbs to Wood, Dark & Heart orbs.
Team skills charged by 2 to 2 turns."
